"According to Maslow's hierarchy of needs, which level represents the most basic survival needs such as food, water, and shelter?
A) Safety
B) Physiological
C) Social
D) Esteem",B) Physiological. Source: School Social Work 238 Exam Preparation Review Guide.
"In Maslow's hierarchy, which level includes the need for 'predictability and structure' to feel secure?
A) Physiological
B) Security/Safety
C) Social
D) Self-actualization",B) Security/Safety. Source: School Social Work 238 Exam Preparation Review Guide.
"In Erikson's Stages of Development, which task is associated with the age range of 6 to 12 years?
A) Trust vs. Mistrust
B) Initiative vs. Guilt
C) Industry vs. Inferiority
D) Identity vs. Role Confusion",C) Industry vs. Inferiority. Source: School Social Work 238 Exam Preparation Review Guide.
"Which stage of Erikson's theory occurs during adolescence and involves the 'integration of previous values' into a sense of self?
A) Autonomy vs. Shame
B) Industry vs. Inferiority
C) Identity vs. Role Confusion
D) Intimacy vs. Isolation",C) Identity vs. Role Confusion. Source: School Social Work 238 Exam Preparation Review Guide.
"Kohlberg's Preconventional level of moral development is primarily characterized by which of the following?
A) Social order
B) Ethical principles
C) Self-interest
D) Community welfare",C) Self-interest. Source: School Social Work 238 Exam Preparation Review Guide.
"According to Piaget, in which stage does a child 'retain images of objects' and develop 'primitive logic'?
A) Sensorimotor
B) Preoperational
C) Concrete Operational
D) Formal Operational",A) Sensorimotor. Source: School Social Work 238 Exam Preparation Review Guide.
"Which Piagetian stage is characterized by 'egocentric' thinking and the inability to 'realize that others have a different point of view'?
A) Sensorimotor
B) Preoperational
C) Concrete Operational
D) Formal Operational",B) Preoperational. Source: School Social Work 238 Exam Preparation Review Guide.
"In which Piagetian stage does a child develop 'conservation' and the ability to 'solve concrete problems'?
A) Preoperational
B) Concrete Operational
C) Formal Operational",B) Concrete Operational. Source: School Social Work 238 Exam Preparation Review Guide.
"What is the primary focus of B.F. Skinner's Behavioral Theory?
A) Observational learning
B) Operant conditioning
C) Scaffolding",B) Operant conditioning. Source: School Social Work 238 Exam Preparation Review Guide.
"Bandura's Social Learning Theory emphasizes that learning occurs through which process?
A) Punishment
B) Observation and modeling
C) Genetic predisposition",B) Observation and modeling. Source: School Social Work 238 Exam Preparation Review Guide.
"Which term describes the 'steady state of cognitive processes' and the 'balance between person and environment' in Piaget's theory?
A) Intelligence
B) Equilibrium
C) Schemata",B) Equilibrium. Source: School Social Work 238 Exam Preparation Review Guide.
"Systems theory posits that the _____ is greater than the sum of its parts.
A) Subsystem
B) Boundary
C) Whole",C) Whole. Source: School Social Work 238 Exam Preparation Review Guide.
"The ecological model is derived from which broader theory?
A) Social Learning Theory
B) Systems Theory
C) Behavioral Theory",B) Systems Theory. Source: School Social Work 238 Exam Preparation Review Guide.
"Which core principle of the Strengths Perspective involves serving clients as 'directors of their own helping process'?
A) Mobilization of resources
B) Collaboration
C) Honor client-set goals",C) Honor client-set goals. Source: School Social Work 238 Exam Preparation Review Guide.
"Cultural _____ is a 'personal lifelong commitment to self-evaluation' and 'examination of her/his own beliefs.'
A) Competence
B) Humility
C) Responsiveness",B) Humility. Source: School Social Work 238 Exam Preparation Review Guide.
"Which Supreme Court ruling states that schools cannot use a child's 'immigration status to exclude them from schooling'?
A) Lau v. Nichols
B) Plyler v. Doe
C) Brown v. Board of Education",B) Plyler v. Doe. Source: School Social Work 238 Exam Preparation Review Guide.
"The Supreme Court ruling in Lau v. Nichols (1974) centered on the rights of which student population?
A) Students with disabilities
B) Undocumented students
C) Non-English speaking students",C) Non-English speaking students. Source: School Social Work 238 Exam Preparation Review Guide.
"In Tuckman's Stages of Group Development, which stage is characterized by 'conflict and competition'?
A) Forming
B) Storming
C) Norming
D) Performing",B) Storming. Source: School Social Work 238 Exam Preparation Review Guide.
"Which acronym represents the core skills of Motivational Interviewing (MI)?
A) FBA
B) OARS
C) PBIS",B) OARS. Source: School Social Work 238 Exam Preparation Review Guide.
"In Multi-Tiered Systems of Support (MTSS), Tier 2 is described as providing which level of support?
A) Universal
B) Targeted
C) Intensive",B) Targeted. Source: School Social Work 238 Exam Preparation Review Guide.
"What is the primary goal of Cognitive Behavior Theory (CBT)?
A) Exploring childhood trauma
B) Identifying irrational thoughts and beliefs
C) Achieving self-actualization",B) Identifying irrational thoughts and beliefs. Source: School Social Work 238 Exam Preparation Review Guide.
"The 'Miracle Question' is a technique used in which therapeutic approach?
A) Cognitive Behavior Theory
B) Solution-Focused Brief Treatment
C) Task-Centered Model",B) Solution-Focused Brief Treatment. Source: School Social Work 238 Exam Preparation Review Guide.
"Family Systems Theory: What occurs when a 'third person is drawn into the interactions between two other people'?
A) Differentiation
B) Triangulation
C) Multi-generational transmission",B) Triangulation. Source: School Social Work 238 Exam Preparation Review Guide.
"Schools are considered _____ settings because their primary mission is education rather than social work.
A) Clinical
B) Primary
C) Host",C) Host. Source: School Social Work 238 Exam Preparation Review Guide.
"A Functional Behavior Assessment (FBA) should be treated as a _____ rather than a final conclusion.
A) Mandate
B) Hypothesis
C) Result",B) Hypothesis. Source: PEL 184 Exam Map.
"The 'ABC' in behavioral data collection stands for Antecedent, Behavior, and _____.
A) Conclusion
B) Context
C) Consequence",C) Consequence. Source: School Social Work 238 Exam Preparation Review Guide.
"Which document is described as the 'cornerstone of a quality education' for a student with a disability?
A) 504 Plan
B) IEP
C) SDS",B) IEP. Source: School Social Work 238 Exam Preparation Review Guide.
"Section 504 of the Rehabilitation Act of 1973 is a federal law that prohibits _____ against persons with disabilities.
A) Segregation
B) Discrimination
C) Funding",B) Discrimination. Source: School Social Work 238 Exam Preparation Review Guide.
"Under IDEA, the _____ requirement ensures students are educated with non-disabled peers to the maximum extent appropriate.
A) FAPE
B) LRE
C) Child Find",B) LRE. Source: School Social Work 238 Exam Preparation Review Guide.
"Which federal law protects the privacy of 'personally identifiable information' in educational records?
A) IDEA
B) ESSA
C) FERPA",C) FERPA. Source: School Social Work 238 Exam Preparation Review Guide.
"According to Illinois law, when should school personnel report to DCFS regarding suspected child abuse?
A) When they have proof
B) When they have reasonable suspicion
C) Only after consulting the principal",B) When they have reasonable suspicion. Source: PEL 184 Exam Map.
"What is the legal timeline for a school district to complete an initial evaluation after a parent signs consent?
A) 30 school days
B) 45 school days
C) 60 school days",C) 60 school days. Source: School Social Work 238 Exam Preparation Review Guide.
"If a parent disagrees with the school's evaluation results, they have the right to request a(n) _____.
A) Manifestation Determination
B) Independent Educational Evaluation (IEE)
C) Due process hearing",B) Independent Educational Evaluation (IEE). Source: School Social Work 238 Exam Preparation Review Guide.
"Which role involves providing 'clinical and other guidance' to a consultee without directly serving the client?
A) Mentor
B) Coach
C) Consultant",C) Consultant. Source: School Social Work 238 Exam Preparation Review Guide.
"Which professional development component is a 'purposeful method designed to empower individuals to learn more about themselves'?
A) Consultation
B) Coaching
C) Mentoring",B) Coaching. Source: School Social Work 238 Exam Preparation Review Guide.
"In research, what is confirmed when 'several independent researchers achieve similar results using the same methodology'?
A) Validity
B) Reliability
C) Objectivity",B) Reliability. Source: ILTS School Social Worker (184) Study Guide.
"What is the most effective first step in gathering medical information for an elementary student's assessment?
A) Interviewing the student
B) Examining the child in school
C) Asking parents to release medical records",C) Asking parents to release medical records. Source: ILTS School Social Worker (184) Study Guide.
"Which technique is most effective for avoiding 'adversarial discussions' with parents/guardians?
A) Summarizing points
B) Being open and honest
C) Expressing concerns in a non-judgmental manner",C) Expressing concerns in a non-judgmental manner. Source: ILTS School Social Worker (184) Study Guide.
"Which intervention best addresses 'social and cultural barriers to learning' within a school staff?
A) Providing workshops on barriers
B) Giving teachers a website address
C) Asking teachers to observe after-school programs",A) Providing workshops on barriers. Source: ILTS School Social Worker (184) Study Guide.
"In the context of Special Education, 'FAPE' stands for Free Appropriate _____ Education.
A) Private
B) Public
C) Professional",B) Public. Source: School Social Work 238 Exam Preparation Review Guide.
"Which framework is specifically mentioned as a way to 'prevent misidentification' of students with trauma histories?
A) Medical model
B) Standardized testing
C) Ecological systems approach",C) Ecological systems approach. Source: PEL Practice Questions.
"Providing counseling to the child of a professional colleague is an example of a _____.
A) Conflict of interest
B) Dual relationship
C) Mandated service",B) Dual relationship. Source: PEL Practice Questions.
"When a student discloses past abuse (2 years ago) but is 'currently safe', what is the most legally appropriate response in IL?
A) Document and take no action
B) Report to DCFS
C) Encourage the student to report themselves",B) Report to DCFS. Source: PEL Practice Questions.
"If a bilingual student performs poorly on a standardized measure in English, what is the most defensible conclusion?
A) The student has a disability
B) Results are invalid due to language dominance
C) The student needs immediate placement",B) Results are invalid due to language dominance. Source: PEL Practice Questions.
"In school social work, 'Person-in-Environment' (PIE) focuses on the _____ between the client and their environment.
A) Conflict
B) Goodness of fit
C) Separation",B) Goodness of fit. Source: School Social Work 238 Exam Preparation Review Guide.
"What is the primary purpose of a 'Needs Assessment' in a school setting?
A) Individual student diagnosis
B) Identifying gaps in services and areas of improvement
C) Administrative organizational charting",B) Identifying gaps in services and areas of improvement. Source: School Social Work 238 Exam Preparation Review Guide.
"According to the Danielson Framework, which domain includes 'communicating with families' and 'maintaining accurate records'?
A) Domain 1: Planning
B) Domain 2: Environment
C) Domain 4: Professional Responsibilities",C) Domain 4: Professional Responsibilities. Source: School Social Work 238 Exam Preparation Review Guide.
"The _____ question (e.g., 'If you woke up tomorrow and a miracle had taken place...') is a hallmark of Solution-Focused therapy.
A) Exception
B) Miracle
C) Scaling",B) Miracle. Source: School Social Work 238 Exam Preparation Review Guide.
"In the Social Developmental Study (SDS), which component includes 'health history' and 'milestones like age of walking'?
A) Family history
B) School history
C) Developmental history",C) Developmental history. Source: School Social Work 238 Exam Preparation Review Guide.
"The term _____ refers to 'avoidable or remediable differences among groups of people'.
A) Equality
B) Equity
C) Diversity",B) Equity. Source: School Social Work 238 Exam Preparation Review Guide.
"PBIS stands for _____ Behavioral Interventions and Supports.
A) Proactive
B) Positive
C) Primary",B) Positive. Source: School Social Work 238 Exam Preparation Review Guide.
"Which role is primarily responsible for interpreting the 'educational implications of the evaluation' in an IEP meeting?
A) School Social Worker
B) School Psychologist
C) Administrator",B) School Psychologist. Source: School Social Work 238 Exam Preparation Review Guide.
"When a student shows no response to Tier 2 supports for absenteeism, what is the next appropriate step?
A) Special education referral
B) Tier 3 individualized intervention
C) Grade retention",B) Tier 3 individualized intervention. Source: PEL Practice Questions.
"A Social Developmental Study (SDS) focuses on the student's functioning within which environment?
A) Home only
B) Clinical only
C) Educational environment",C) Educational environment. Source: ILTS School Social Worker (184) Study Guide.
"The 'Least Restrictive Environment' (LRE) mandate requires that a student with an IEP be educated in _____ education settings first.
A) Special
B) General
C) Vocational",B) General. Source: PEL Practice Questions.
